MANDT,PERNR,BEGDA,ENDDA,SEQNR,ANRED,VORNA,NACHN,GESCH,GESCH_TEXT,GBDAT,FAMST,FAMST_TEXT,NATIO
100,00000001,25-09-2011,31-12-9999,000,Mr,James,Harrison,1,Male,14-03-1985,M,Married,GB
100,00000002,04-09-2014,31-12-9999,000,Ms,Sarah,Mitchell,2,Female,22-07-1990,S,Single,GB
100,00000003,17-11-2004,31-12-9999,000,Mr,Mohammed,Al-Rashid,1,Male,05-11-1978,M,Married,SA
100,00000004,12-03-2017,31-12-9999,000,Ms,Emily,Thompson,2,Female,30-01-1992,S,Single,GB
100,00000005,25-09-2007,31-12-9999,000,Mr,David,Chen,1,Male,18-09-1983,M,Married,SG
100,00000006,20-01-2025,31-12-9999,000,Ms,Priya,Sharma,2,Female,12-04-1995,S,Single,IN
100,00000007,01-08-2002,31-12-9999,000,Mr,Robert,Williams,1,Male,28-06-1975,M,Married,US
100,00000008,27-06-2011,31-12-9999,000,Mrs,Amanda,Jones,2,Female,03-12-1988,M,Married,GB
100,00000009,02-04-2019,31-12-9999,000,Mr,Liam,O'Brien,1,Male,15-08-1993,S,Single,IE
100,00000010,03-10-2012,31-12-9999,000,Ms,Fatima,Hassan,2,Female,20-02-1987,M,Married,NG
100,00000011,16-12-2003,31-12-9999,000,Mr,Thomas,Müller,1,Male,07-05-1980,M,Married,DE
100,00000012,25-09-2020,31-12-9999,000,Ms,Charlotte,Davies,2,Female,,S,Single,GB
100,00000013,22-03-2010,31-12-9999,000,Mr,Kevin,Okonkwo,1,Male,31-03-1986,M,Married,NG
100,00000014,06-09-2020,31-12-9999,000,Ms,Sophie,Leclerc,2,Female,14-07-1991,S,Single,FR
100,00000015,28-09-2010,31-12-9999,000,Mr,Daniel,Kowalski,1,Male,09-01-1984,M,Married,PL
100,00000016,18-04-2022,31-12-9999,000,Ms,Grace,Tan,2,Female,18-11-1994,S,Single,MY
100,00000017,10-12-2004,31-12-9999,000,Mr,Andrew,MacGregor,1,Male,23-04-1979,M,Married,GB
100,00000018,21-11-2024,31-12-9999,000,Ms,Aisha,Patel,2,Female,07-08-1996,S,Single,GB
100,00000019,17-08-2009,31-12-9999,000,Mr,Marcus,Johnson,1,Male,30-12-1982,M,Married,US
100,00000020,08-02-2018,31-12-9999,000,Ms,Yuki,,2,Female,16-06-1989,S,Single,JP
