PA0000_MANDT,PA0000_PERNR,PA0000_BEGDA,PA0000_ENDDA,PA0000_SEQNR,PA0000_MASSN,PA0000_MASSN_TEXT,PA0000_MASSG,PA0000_MASSG_TEXT,PA0000_STAT2,PA0000_STAT2_TEXT,PA0002_MANDT,PA0002_PERNR,PA0002_BEGDA,PA0002_ENDDA,PA0002_SEQNR,PA0002_ANRED,PA0002_VORNA,PA0002_NACHN,PA0002_GESCH,PA0002_GESCH_TEXT,PA0002_GBDAT,PA0002_FAMST,PA0002_FAMST_TEXT,PA0002_NATIO,AGE
100,00000002,2014-12-04,9999-12-31,000,01,Hiring,01,New Employee,3,Active,100,00000002,2014-09-04,9999-12-31,000,Ms,Sarah,Mitchell,2,Female,1990-07-22,S,Single,GB,36
100,00000003,2008-02-19,9999-12-31,000,01,Hiring,01,New Employee,3,Active,100,00000003,2004-11-17,9999-12-31,000,Mr,Mohammed,Al-Rashid,1,Male,1978-11-05,M,Married,SA,48
100,00000006,2025-07-08,9999-12-31,000,01,Hiring,01,New Employee,3,Active,100,00000006,2025-01-20,9999-12-31,000,Ms,Priya,Sharma,2,Female,1995-04-12,S,Single,IN,31
100,00000008,2016-06-09,9999-12-31,000,01,Hiring,01,New Employee,3,Active,100,00000008,2011-06-27,9999-12-31,000,Mrs,Amanda,Jones,2,Female,1988-12-03,M,Married,GB,38
100,00000009,2020-02-03,9999-12-31,000,01,Hiring,01,New Employee,3,Active,100,00000009,2019-04-02,9999-12-31,000,Mr,Liam,O'Brien,1,Male,1993-08-15,S,Single,IE,33
100,00000010,2014-06-20,9999-12-31,000,01,Hiring,01,New Employee,3,Active,100,00000010,2012-10-03,9999-12-31,000,Ms,Fatima,Hassan,2,Female,1987-02-20,M,Married,NG,39
100,00000011,2009-09-04,9999-12-31,000,01,Hiring,01,New Employee,3,Active,100,00000011,2003-12-16,9999-12-31,000,Mr,Thomas,Müller,1,Male,1980-05-07,M,Married,DE,46
100,00000013,2013-10-07,9999-12-31,000,01,Hiring,01,New Employee,3,Active,100,00000013,2010-03-22,9999-12-31,000,Mr,Kevin,Okonkwo,1,Male,1986-03-31,M,Married,NG,40
100,00000016,2023-11-27,9999-12-31,000,01,Hiring,01,New Employee,3,Active,100,00000016,2022-04-18,9999-12-31,000,Ms,Grace,Tan,2,Female,1994-11-18,S,Single,MY,32
100,00000017,2006-06-07,9999-12-31,000,01,Hiring,01,New Employee,3,Active,100,00000017,2004-12-10,9999-12-31,000,Mr,Andrew,MacGregor,1,Male,1979-04-23,M,Married,GB,47
100,00000020,2019-04-22,9999-12-31,000,01,Hiring,01,New Employee,3,Active,100,00000020,2018-02-08,9999-12-31,000,Ms,Yuki,,2,Female,1989-06-16,S,Single,JP,37
